,Book-Author,Description
1099,Farley Mowat,"Farley McGill Mowat, was a Canadian writer and environmentalist. His works were translated into 52 languages, and he sold more than 17 million books. He achieved fame with the publication of his books on the Canadian north, such as People of the Deer (1952) and Never Cry Wolf (1963). The latter, an account of his experiences with wolves in the Arctic, was made into a film of the same name released in 1983. For his body of work as a writer he won the annual Vicky Metcalf Award for Children's Literature in 1970."
1101,Ian Montgomery,Ian Montgomery is a former Australian rules footballer who played with Collingwood in the Victorian Football League (VFL) during the 1960s.
1102,Mowar,
1103,W. Nelson,
1104,Landoll,
1105,Arco,Arco may refer to:
1106,Dick R. Gourley,
1107,Peter Gzowski,"Peter John Gzowski, known colloquially as ""Mr. Canada"", or ""Captain Canada"", was a Canadian broadcaster, writer and reporter, most famous for his work on the CBC radio shows This Country in the Morning and Morningside. His first biographer argued that Gzowski's contribution to Canadian media must be considered in the context of efforts by a generation of Canadian nationalists to understand and express Canada's cultural identity. Gzowski wrote books, hosted television shows, and worked at a number of newspapers and at Maclean's magazine. Gzowski was known for a friendly, warm, interviewing style."
1108,Carl Karp,
1109,Nancy Wachowich,
1110,Phillip Prodger,"Phillip Prodger is a museum professional, curator, author, and art historian. He is the Senior Research Scholar at the Yale Center for British Art and formerly served as Head of Photographs at the National Portrait Gallery, London. Born in Margate, Kent, he currently resides outside of New Haven, Connecticut."
1111,Jeanne Minhinnick,
1112,Elva Oglanby,
1113,Donn Kushner,"Donn Jean Kushner was an American-born Canadian scientist and writer. He taught biology at the University of Ottawa and Toronto from 1965 to 1992 and authored both adult and children's books, some of which won awards."
1114,De Lee,
1115,Ruth T  Brown,
1116,Ellen Lakusiak,
1117,Marjorie Hollands,
1118,Watson,Watson may refer to:
1119,Tom Thomson,"Thomas John Thomson was a Canadian artist active in the early 20th century. During his short career, he produced roughly 400 oil sketches on small wood panels and approximately 50 larger works on canvas. His works consist almost entirely of landscapes, depicting trees, skies, lakes, and rivers. He used broad brush strokes and a liberal application of paint to capture the beauty and colour of the Ontario landscape. Thomson's accidental death by drowning at 39 shortly before the founding of the Group of Seven is seen as a tragedy for Canadian art."
1120,ROY MACGREGOR,
1121,Roy MacGregor,Roy MacGregor is a Canadian author of fiction and non-fiction.
1124,Dawn Gallgher,
1125,Dorling Kindersley Publishing,"Dorling Kindersley Limited is a British multinational publishing company specialising in illustrated reference books for adults and children in 63 languages. 
It is part of Penguin Random House, a subsidiary of German media conglomerate Bertelsmann.
Established in 1974, DK publishes a range of titles in genres including travel, history, geography, science, space, nature, sports, gardening, cookery and parenting. 
The worldwide co-CEOs of DK are Paul Kelly and Rebecca Smart. DK has offices in New York, Melbourne, London, Munich, New Delhi, Toronto, Madrid, Beijing, and Jiangmen.
DK works with licensing partners such as Disney, LEGO, DC Comics, the Royal Horticultural Society, MasterChef, and the Smithsonian Institution. 
DK has commissioned Mary Berry, Monty Don, Robert Winston, Huw Richards, and Steve Mould for a range of books."
1127,Mohandas Karamchand Gandhi,"Mohandas Karamchand Gandhi was an Indian lawyer, anti-colonial nationalist and political ethicist who employed nonviolent resistance to lead the successful campaign for India's independence from British rule. He inspired movements for civil rights and freedom across the world. The honorific Mahātmā, first applied to him in 1914 in South Africa, is now used throughout the world."
1129,Raymond Briggs,"Raymond Redvers Briggs was an English illustrator, cartoonist, graphic novelist and author. Achieving critical and popular success among adults and children, he is best known in Britain for his 1978 story The Snowman, a book without words whose cartoon adaptation is televised and whose musical adaptation is staged every Christmas."
1130,Lillian Schlissel,"Lillian Schlissel is an American historian, professor and author."
1131,Binjamin Wilkomirski,"Fragments: Memories of a Wartime Childhood is a 1995 book, whose author used the pseudonym Binjamin Wilkomirski, which purports to be a memoir of the Holocaust. It was debunked by Swiss journalist and writer Daniel Ganzfried in August 1998. The subsequent disclosure of Wilkomirski's fabrications sparked heated debate in the German- and English-speaking world. Many critics argued that Fragments no longer had any literary value. Swiss historian and anti-Semitism expert Stefan Maechler later wrote, ""Once the professed interrelationship between the first-person narrator, the death-camp story he narrates, and historical reality are proved palpably false, what was a masterpiece becomes kitsch."""
1132,Hana Volavkova,
1133,Mark Hertsgaard,"Mark Hertsgaard is an American journalist and the co-founder and executive director of Covering Climate Now. He is the environment correspondent for The Nation, and the author of seven non-fiction books, including Earth Odyssey (1998) and Hot: Living Through the Next Fifty Years on Earth (2011)."
1134,FRANZ KAFKA,
1135,Thomas Malory,"Sir Thomas Malory was an English writer, the author of Le Morte d'Arthur, the classic English-language chronicle of the Arthurian legend, compiled and in most cases translated from French sources. The most popular version of Le Morte d'Arthur was published by the famed London printer William Caxton in 1485. Much of Malory's life history is obscure, but he identified himself as a ""knight prisoner"", apparently reflecting that he was either a criminal or a prisoner-of-war. Malory's identity has never been confirmed. However, since modern scholars began researching his identity the most widely accepted candidate has been Sir Thomas Malory of Newbold Revel in Warwickshire, who was imprisoned at various times for criminal acts and possibly also for political reasons during the Wars of the Roses."
1136,Walter Benjamin,"Walter Bendix Schönflies Benjamin was a German Jewish philosopher, cultural critic, and essayist."
1137,Jerome Goldstein,"Jerome (Jerry) Arthur Goldstein is an American mathematician whose main interests are partial differential equations, operator theory, stochastic analysis, fluid dynamics, quantum theory, and mathematical finance."
1138,Chuck Palahniuk,"Charles Michael ""Chuck"" Palahniuk is an American novelist who describes his work as transgressional fiction. He has published 19 novels, three nonfiction books, two graphic novels, and two adult coloring books, as well as several short stories. His first published novel was Fight Club, which was adapted into a film of the same title."
1139,Gennadii Spirin,
